縣市,資料名稱,介接網址,欄位說明,檔案格式,更新頻率
臺北市,臺北市道路速率(GZ),https://tcgbusfs.blob.core.windows.net/blobtisv/GetVD.xml.gz,詳介接說明文件,GZ,每1分鐘
臺北市,介接欄位說明文件,https://www-ws.gov.taipei/001/Upload/public/mmo/dot/臺北市交通控制中心資料庫介接說明文件.pdf,詳<資料型態：路段資料>,pdf,不定期更新
